"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"880","devastate","動詞","～を壊滅させる、荒廃させる; ～を打ちのめす","A trade war could devastate the economies of developing countries.","貿易戦争は発展途上国の経済を壊滅させる恐れがある。","/dévəstèit/","ravage, ruin, wreck","","8"
"881","expand","動詞","(規模・数量など)を拡大する; ～を広げる、伸ばす","He had expanded his plumbing business to service the entire county.","彼は、郡全体にサービスを提供するため配管事業を拡大した。","/ikspǽnd/","enlarge, grow, broaden","contract","4"
"882","halve","動詞","～を2等分する; ～を半減する(させる)","The two boys decided to halve the apple between them.","2人の少年はりんごを半分ずつ分けることに決めた。","/hǽv/","","","7"
"883","neat","形容詞","きちんとした、こぎれいな; きれい好きな","His room was always neat and tidy.","彼の部屋はいつもきちんと整頓されていた。","/ní:t/","groomed, orderly, refined","","2"
"884","dispute","名詞/動詞","論議、論争、紛争 / ～を議論する、～について論争する","The dispute between the company and its employees was tense.","会社と従業員の間の争議は緊迫していた。","/dispjú:t/","controversy; challenge, contest, question, argue","","5"
"885","preside","動詞","取り仕切る、主宰する、司会を務める","The chairperson presided over the committee meeting.","議長は委員会の会議を統括した。","/prizáid/","administer, govern, supervise","","7"
"886","eventually","副詞","最終的に、結局","He's very late but I'm pretty sure he will eventually arrive.","彼はすごく遅れているけれど、間違いなく最終的には到着すると思う。","/ivéntʃuəli/","finally","","4"
"887","various","形容詞","いろいろな、さまざまな、多種の","The wide selection of candles came in various scents.","キャンドルの豊富なセレクションはさまざまな香りがあった。","/vɛ́əriəs/","diverse","","3"
"888","torrent","名詞","急流、激流","The stream became a raging torrent after the heavy rainfall.","激しい降雨の後、小川はたけり狂う激流となった。","/tɔ́:rənt/","cascade, flood","","9"
"889","register","名詞","登録簿、出席簿、名簿","The teacher called the school register in the morning and found one student absent.","教師は朝出席簿を読み上げ、1人の生徒が欠席していることに気付いた。","/rédʒistə/","","","5"
"890","evident","形容詞","明白な、明らかな","It was evident from her guilty expression that she was lying about her whereabouts last night.","彼女の後ろめたそうな表情から、昨夜の居場所についてうそをついているのが明らかだった。","/évədənt/","apparent, obvious, manifest","","4"
"891","stick","動詞/名詞","～をくっつける、張り付く; ～を突き刺す / 杖、棒","His words stuck in my mind for decades.","彼の言葉は何十年も私の頭から離れなかった。","/stík/","adhere, cling; pole","","2"
"892","congratulate","動詞","～にお祝いを言う、～を祝福する、たたえる","Thousands of people waited at the airport to congratulate the team on their victory.","チームの勝利を祝福しようと、何千人もの人々が空港で待っていた。","/kəngrǽtʃulèit/","applaud, compliment, honour","","6"
"893","yearn","動詞","切望する、渇望する、憧れる","She hadn't seen her husband for months and yearned for him to come home.","彼女は夫と何カ月も会っておらず、彼の帰宅を待ちわびていた。","/jə́:rn/","hunger, long","","8"
"894","spontaneously","副詞","自発的に、自然発生的に","Hearing the old song on the radio, he spontaneously started to sing.","古い歌がラジオから聞こえてきて、彼は思わず歌い始めた。","/spɔntéiniəsli/","automatically","","N/A"
"895","reconstruction","名詞","復興、再建、改築、再現","Full reconstruction of the building was needed after the damage caused by the storm.","そのビルは嵐による被害を受けて全面的な再建が必要だった。","/rì:kənstrʌ́kʃən/","remodelling, revamping, reformation","","8"
"896","justify","動詞","～を正当化する、弁明する; ～を説明する","The manager asked his employee to justify receiving a pay rise.","マネジャーは従業員に昇給を受ける正当性を説明するよう求めた。","/dʒʌ́stəfài/","uphold","","4"
"897","logical","形容詞","理にかなった、妥当の; 論理的な、筋が通った","If you are constantly exhausted, the logical thing to do is get more sleep.","疲れがとれない場合、理にかなった行動はより多くの睡眠をとることだ。","/lɔ́dʒikəl/","rational, reasonable, sensible, sound, coherent","","4"
"898","tolerance","名詞","忍耐力、我慢強さ; 寛容、寛大","Her tolerance to heat was much greater after living in Thailand for several years.","彼女はタイに数年住んでから、暑さにより耐えられるようになった。","/tɔ́lərəns/","patience, endurance","intolerance, impatience","7"
"899","division","名詞","分割、分裂; 境界線; 部、課","Division of labour propelled economic growth during the Industrial Revolution.","産業革命期には、分業が経済成長を後押しした。","/divíʒən/","separation","","4"
"900","rhythm","名詞","リズム、調子; 規則的な反復","The doctor found some abnormal heart rhythms during my annual health check.","年次の健康診断時、医師は心拍リズムの異常を発見した。","/ríðəm/","pulse","","3"
"901","tilt","名詞/動詞","傾き、傾斜; ～を傾ける、斜めにする","In 1990, the Leaning Tower of Pisa had a tilt of over 5 degrees.","1990年には、ピサの斜塔は5度以上の傾斜があった。","/tilt/","angle, incline, lean","","8"
"902","seize","動詞","～を差し押さえる; ～をつかむ; ～を強奪する","The customs officer seized the illegal goods at the dock.","税関職員は埠頭(ふとう)で違法な物品を押収した。","/sí:z/","take","","4"
"903","frighten","動詞","～を怖がらせる、ぎょっとさせる、おびえさせる","His high cholesterol level frightened him into changing his diet.","高いコレステロール値に恐れをなして、彼は食事の改善に乗り出した。","/fráitn/","scare, terrify","","3"
"904","multiply","動詞","～を増やす、増加させる; ～に乗ずる、掛ける","Eating junk food multiplies the risks to our health.","ジャンクフードを食べると健康リスクが増加する。","/mʌ́ltəplài/","increase, breed, accelerate, enlarge, magnify","","4"
