"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"949","prefer","動詞","好む","I prefer tea over coffee.","私はコーヒーよりもお茶を好む。","","","",""
"950","extend","動詞","伸ばす","Can we extend the meeting?","会議を延長できますか？","","","",""
"951","possibility","名詞","可能性","The possibility is endless.","可能性は無限です。","","","",""
"952","direction","名詞","方向","Follow the direction to reach the destination.","目的地に到達するための方向に従ってください。","","","",""
"953","facility","名詞","施設","The facility is state-of-the-art.","f-the-art. – この施設は最先端です。","","","",""
"954","variety","名詞","バラエティ","Variety is the spice of life.","変化は人生のスパイスです。","","","",""
"955","daily","形容詞","毎日","Daily practice improves skills.","日常の練習はスキルを向上させます。","","","",""
"956","clothes","名詞","服","New clothes bring joy.","新しい服は喜びをもたらします。","","","",""
"957","screen","名詞","画面","The screen displayed the results.","画面に結果が表示されました。","","","",""
"958","track","名詞","追跡","The track was muddy.","トラックは泥だらけでした。","","","",""
"959","dance","名詞/動詞","ダンス","Dance like nobody’s watching.","誰も見ていないかのように踊ってください。","","","",""
"960","completely","副詞","完全に","I completely understand your point.","あなたの意見を完全に理解しています。","","","",""
"961","female","形容詞/名詞","女性","The female lead stole the show.","女性主演がショーの主役を務めました。","","","",""
"962","responsibility","名詞","責任","Responsibility comes with power.","責任は権力とともに来ます。","","","",""
"963","original","形容詞/名詞","オリジナル","The original painting is priceless.","オリジナルの絵画は価値が計り知れない。","","","",""
"964","sister","名詞","妹","My sister is my best friend.","私の妹は私の親友です。","","","",""
"965","rock","名詞","ロック","The rock was huge and majestic.","岩は巨大で堂々としていました。","","","",""
"966","dream","名詞/動詞","夢","Dream big and chase it.","大きな夢を見て、それを追い求めてください。","","","",""
"967","nor","接続詞","または","Neither rain nor shine will deter us.","雨でも晴れでも私たちを妨げることはありません。","","","",""
"968","university","名詞","大学","The university campus is vast.","大学のキャンパスは広大です。","","","",""
"969","easily","副詞","簡単に","She easily solves complex problems.","彼女は複雑な問題を簡単に解決します。","","","",""
"970","agency","名詞","代理店","The agency handled the advertising.","代理店が広告を取り扱いました。","","","",""
"971","dollar","名詞","ドル","A dollar saved is a dollar earned.","節約された1ドルは稼いだ1ドルです。","","","",""
"972","garden","名詞","庭","The garden blooms with flowers.","庭は花で満開です。","","","",""
"973","fix","動詞","修理","Can you fix this for me?","これを私のために修理してもらえますか？","","","",""
"974","ahead","副詞","先に","Look ahead and move forward.","前を見て進んでください。","","","",""
"975","cross","動詞/名詞","クロス","Don’t cross the line.","境界を越えないでください。","","","",""
"976","yeah","副詞","うん","Yeah, that’s a great idea!","ええ、それは素晴らしいアイディアですね！","","","",""
"977","candidate","名詞","候補者","The candidate was well-prepared.","repared. – 候補者は十分に準備されていました。","","","",""
"978","weight","名詞","重さ","Losing weight requires dedication.","体重を減らすためには献身が必要です。","","","",""
"979","legal","形容詞","法律上の","Seek legal advice if unsure.","不安な場合は法的アドバイスを求めてください。","","","",""
"980","proposal","名詞","提案","The proposal was accepted.","提案は受け入れられました。","","","",""
"981","version","名詞","バージョン","This version of the software is better.","このソフトウェアのバージョンはより優れています。","","","",""
"982","conversation","名詞","会話","Our conversation was enlightening.","私たちの会話は啓発的でした。","","","",""
"983","somebody","代名詞","誰か","Somebody left this at the door.","誰かがこれをドアに残しました。","","","",""
